chain_id,n_tracklets,n_hand_edges,n_v_reclass_edges,n_air_edges,n_h3_confirmed,h3_score,h8_score,h9_score,h8v8_score,quality_v10
0,1,0,0,0,0,,1.0,1.0,0.5,1.0
3,1,0,0,0,0,,1.0,1.0,0.5,1.0
5,1,0,0,0,0,,1.0,1.0,0.5,1.0
7,1,0,0,0,0,,1.0,1.0,0.5,1.0
21,1,0,0,0,0,,1.0,1.0,0.5,1.0
26,1,0,0,0,0,,1.0,1.0,0.5,1.0
27,1,0,0,0,0,,1.0,1.0,0.5,1.0
33,1,0,0,0,0,,1.0,1.0,0.5,1.0
35,1,0,0,0,0,,1.0,1.0,0.5,1.0
39,1,0,0,0,0,,1.0,1.0,0.5,1.0
40,1,0,0,0,0,,1.0,1.0,0.5,1.0
13,1,0,0,0,0,,1.0,0.95,0.5,0.9714285714285714
37,1,0,0,0,0,,1.0,0.9411764705882353,0.5,0.9663865546218487
6,1,0,0,0,0,,1.0,0.9361702127659575,0.5,0.9635258358662614
9,1,0,0,0,0,,1.0,0.9333333333333333,0.5,0.9619047619047619
16,1,0,0,0,0,,1.0,0.9270833333333334,0.5,0.9583333333333334
25,1,0,0,0,0,,1.0,0.89171974522293,0.5,0.9381255686988171
11,1,0,0,0,0,,1.0,0.8888888888888888,0.5,0.9365079365079365
1,1,0,0,0,0,,1.0,0.8666666666666667,0.5,0.9238095238095239
17,1,0,0,0,0,,1.0,0.8441558441558441,0.5,0.9109461966604824
20,2,0,0,1,0,,1.0,0.8383233532934131,0.0,0.9076133447390933
10,1,0,0,0,0,,1.0,0.8275862068965517,0.5,0.9014778325123153
24,1,0,0,0,0,,1.0,0.8,0.5,0.8857142857142857
32,2,1,0,0,1,1.0,1.0,0.7078651685393258,0.5,0.8831460674157303
19,2,1,1,0,0,,1.0,0.7671232876712328,0.25,0.8669275929549902
8,2,1,0,0,1,1.0,1.0,0.589041095890411,0.5,0.8356164383561644
28,2,0,0,1,0,,0.5,0.7948717948717948,0.5,0.6684981684981685
38,2,1,0,0,0,0.0,1.0,0.9032258064516129,0.5,0.6612903225806452
31,2,1,1,0,0,,1.0,0.40476190476190477,0.5,0.6598639455782314
23,3,2,1,0,0,0.0,1.0,0.8626609442060086,0.3333333333333333,0.6450643776824034
4,3,2,1,0,0,0.0,1.0,0.8203125,0.5,0.628125
18,3,1,0,1,0,0.0,1.0,0.7553956834532374,0.3333333333333333,0.6021582733812949
2,2,1,0,0,0,0.0,1.0,0.7441860465116279,0.5,0.5976744186046512
34,2,1,0,0,0,0.0,1.0,0.7,0.5,0.58
29,4,3,2,0,0,0.0,1.0,0.6608695652173913,0.5,0.5643478260869565
22,7,5,0,1,0,0.0,1.0,0.645933014354067,0.2857142857142857,0.5583732057416269
12,3,2,1,0,0,0.0,1.0,0.5111111111111111,0.5,0.5044444444444445
14,2,0,0,1,0,,0.0,0.7941176470588235,0.0,0.45378151260504196
30,5,3,0,1,1,0.3333333333333333,0.0,0.7632508833922261,0.5,0.40530035335689046
36,3,1,0,1,0,0.0,0.0,0.8090909090909091,0.16666666666666666,0.32363636363636367
15,3,1,0,1,0,0.0,0.0,0.79,0.5,0.31600000000000006
