chain_id,n_tracklets,q10,g_cv,n_arcs_clean,penalized,q11
11,1,0.8333,,0,False,0.8333
14,1,0.8333,,1,False,0.8333
13,1,0.7333,,1,False,0.7333
5,1,0.6333,,0,False,0.6333
6,2,0.8406,0.427,6,True,0.6271
4,1,0.7962,0.552,6,True,0.5202
0,4,0.6827,0.405,13,True,0.4802
8,4,0.6756,0.481,16,True,0.4351
10,4,0.6071,0.447,11,True,0.3836
1,2,0.5889,0.503,12,True,0.3374
9,6,0.6145,0.56,13,True,0.3345
3,4,0.68,0.837,27,True,0.2615
2,2,0.5776,0.642,3,True,0.2566
7,4,0.6156,0.852,13,True,0.1896
12,3,0.6176,1.179,6,True,0.0281
