frame,time_seconds,track_id,confidence,center_x,center_y
2,0.033367,3,0.560318,634.745,238.423
2,0.033367,4,0.572353,585.951,307.607
2,0.033367,5,0.729645,534.684,378.839
2,0.033367,1,0.253634,581.805,214.757
2,0.033367,2,0.288411,631.005,470.479
3,0.050050,3,0.599100,636.337,242.983
3,0.050050,4,0.465752,587.080,298.298
3,0.050050,5,0.379132,533.507,391.215
3,0.050050,1,0.347189,580.492,212.647
3,0.050050,2,0.288411,630.391,469.658
4,0.066733,3,0.632106,638.262,248.657
4,0.066733,4,0.279086,588.309,288.055
4,0.066733,5,0.570422,532.241,403.224
4,0.066733,1,0.274710,579.335,211.348
4,0.066733,2,0.288411,629.776,468.837
5,0.083417,3,0.515529,639.990,255.083
5,0.083417,4,0.547079,589.886,278.013
5,0.083417,5,0.590559,530.797,414.851
5,0.083417,1,0.272034,577.608,210.742
5,0.083417,2,0.431510,625.399,454.751
6,0.100100,3,0.199949,642.185,262.470
6,0.100100,4,0.271319,591.195,268.443
6,0.100100,5,0.402830,530.003,425.145
6,0.100100,1,0.216111,575.864,210.407
6,0.100100,2,0.327596,622.180,438.326
7,0.116783,3,0.371421,643.903,270.558
7,0.116783,4,0.609487,592.455,259.475
7,0.116783,5,0.352666,530.059,434.197
7,0.116783,1,0.605832,574.147,210.612
7,0.116783,2,0.327596,619.810,429.153
8,0.133467,3,0.232054,645.704,278.347
8,0.133467,4,0.567263,594.198,251.026
8,0.133467,5,0.614033,531.265,443.148
8,0.133467,1,0.387281,572.596,211.139
8,0.133467,2,0.793220,617.367,409.211
9,0.150150,3,0.514464,648.087,286.735
9,0.150150,4,0.663319,595.647,243.399
9,0.150150,5,0.570753,533.045,452.463
9,0.150150,1,0.372956,570.838,212.566
9,0.150150,2,0.829804,615.678,390.969
10,0.166833,3,0.826670,649.969,296.589
10,0.166833,4,0.813465,597.017,236.505
10,0.166833,5,0.603501,535.444,460.212
10,0.166833,1,0.521377,569.078,214.513
10,0.166833,2,0.232898,614.757,374.636
11,0.183517,3,0.709385,651.819,306.533
11,0.183517,4,0.349364,598.359,230.542
11,0.183517,5,0.157841,538.614,468.156
11,0.183517,1,0.635526,567.807,217.138
11,0.183517,2,0.464139,613.505,359.098
12,0.200200,3,0.562245,653.565,316.951
12,0.200200,4,0.363396,599.686,224.831
12,0.200200,5,0.403630,542.341,474.243
12,0.200200,1,0.645306,566.411,219.996
12,0.200200,2,0.464139,611.820,344.143
13,0.216883,3,0.664090,655.161,328.129
13,0.216883,4,0.432124,600.859,219.411
13,0.216883,5,0.283266,546.678,479.744
13,0.216883,1,0.556136,564.670,223.718
13,0.216883,2,0.464139,610.134,329.188
14,0.233567,3,0.772802,656.887,339.452
14,0.233567,4,0.518693,602.026,215.244
14,0.233567,5,0.382448,551.557,484.707
14,0.233567,1,0.526832,563.058,227.481
14,0.233567,2,0.520563,609.097,316.885
15,0.250250,3,0.793015,658.653,351.892
15,0.250250,4,0.465043,603.205,211.726
15,0.250250,5,0.382448,554.820,491.399
15,0.250250,1,0.286319,561.246,232.384
15,0.250250,2,0.536070,608.279,305.678
16,0.266933,3,0.660795,660.462,365.086
16,0.266933,4,0.162422,604.603,208.992
16,0.266933,5,0.170301,559.434,489.445
16,0.266933,1,0.286319,559.615,235.596
16,0.266933,2,0.224881,607.534,295.374
17,0.283617,3,0.843022,662.188,378.266
17,0.283617,4,0.323776,605.828,206.458
17,0.283617,5,0.364480,563.712,484.670
17,0.283617,1,0.228745,558.090,242.289
17,0.283617,2,0.356691,606.297,285.612
18,0.300300,3,0.785511,663.399,390.736
18,0.300300,4,0.696238,607.413,204.613
18,0.300300,5,0.237214,566.573,476.129
18,0.300300,1,0.578115,556.511,249.408
18,0.300300,2,0.500760,605.076,276.378
19,0.316983,3,0.651024,663.983,401.934
19,0.316983,4,0.625675,609.023,203.176
19,0.316983,5,0.348841,569.057,465.687
19,0.316983,1,0.661479,555.222,256.983
19,0.316983,2,0.317759,604.013,267.796
20,0.333667,3,0.652905,664.047,411.793
20,0.333667,4,0.333541,610.216,202.322
20,0.333667,5,0.348841,572.322,462.309
20,0.333667,1,0.498425,553.696,265.025
20,0.333667,2,0.299272,603.150,259.663
21,0.350350,3,0.530624,663.445,420.694
21,0.350350,4,0.340553,611.367,202.038
21,0.350350,5,0.379329,574.022,444.506
21,0.350350,1,0.365730,551.802,273.201
21,0.350350,2,0.454574,602.267,252.263
22,0.367033,3,0.288061,661.871,429.089
22,0.367033,4,0.329902,612.624,202.069
22,0.367033,5,0.508766,576.345,426.034
22,0.367033,1,0.475966,550.280,281.808
22,0.367033,2,0.438455,601.338,245.488
23,0.383717,3,0.288061,661.877,439.132
23,0.383717,4,0.329902,613.916,200.739
23,0.383717,5,0.533376,577.988,407.868
23,0.383717,1,0.261990,548.789,290.853
23,0.383717,2,0.339799,600.299,239.161
24,0.400400,3,0.288061,661.883,449.175
24,0.400400,4,0.424424,615.236,202.569
24,0.400400,5,0.518114,579.480,390.481
24,0.400400,1,0.353843,547.502,300.408
24,0.400400,2,0.547456,599.178,233.210
25,0.417083,3,0.288061,661.889,459.219
25,0.417083,4,0.586841,616.950,204.760
25,0.417083,5,0.372686,581.578,374.942
25,0.417083,1,0.573483,546.025,310.434
25,0.417083,2,0.607888,597.920,227.440
26,0.433767,3,0.288061,661.895,469.262
26,0.433767,4,0.701324,618.156,207.684
26,0.433767,5,0.815908,583.033,360.295
26,0.433767,1,0.585606,544.504,321.219
26,0.433767,2,0.650862,596.746,222.448
27,0.450450,3,0.288061,661.901,479.305
27,0.450450,4,0.474938,619.813,210.608
27,0.450450,5,0.706165,584.594,346.200
27,0.450450,1,0.603874,542.901,332.910
27,0.450450,2,0.506648,595.510,218.025
28,0.467133,4,0.501350,621.594,213.985
28,0.467133,5,0.469695,585.835,333.267
28,0.467133,1,0.468390,541.396,345.044
28,0.467133,2,0.212478,594.381,213.806
29,0.483817,4,0.518143,622.774,218.220
29,0.483817,5,0.719853,587.460,321.341
29,0.483817,1,0.621068,539.986,357.833
29,0.483817,2,0.507580,593.248,210.389
30,0.500500,4,0.694430,623.653,222.649
30,0.500500,5,0.552686,588.877,309.995
30,0.500500,1,0.706073,538.366,371.316
30,0.500500,2,0.635356,592.079,207.961
31,0.517183,4,0.654207,624.804,227.300
31,0.517183,5,0.676300,590.258,299.826
31,0.517183,1,0.694010,536.423,384.589
31,0.517183,2,0.661953,590.776,205.432
32,0.533867,4,0.598166,626.095,232.941
32,0.533867,5,0.522801,591.696,290.291
32,0.533867,1,0.746457,534.613,398.089
32,0.533867,2,0.429719,589.700,203.508
33,0.550550,4,0.691089,627.198,238.997
33,0.550550,5,0.654047,592.876,281.659
33,0.550550,1,0.655580,533.320,409.869
33,0.550550,2,0.505387,588.682,202.199
34,0.567233,4,0.668068,628.548,245.621
34,0.567233,5,0.388541,594.196,273.819
34,0.567233,1,0.359398,532.483,419.256
34,0.567233,2,0.331504,587.566,201.380
34,0.567233,6,0.859395,620.510,453.153
35,0.583917,4,0.711104,629.919,253.006
35,0.583917,5,0.654001,595.564,266.311
35,0.583917,1,0.740371,532.327,427.291
35,0.583917,2,0.613050,586.573,200.972
35,0.583917,6,0.836406,618.417,442.177
36,0.600600,4,0.511493,630.939,261.024
36,0.600600,5,0.400934,596.798,259.410
36,0.600600,1,0.671744,533.115,434.877
36,0.600600,2,0.217966,585.809,201.090
36,0.600600,6,0.620501,617.450,428.044
37,0.617283,4,0.568511,631.850,269.433
37,0.617283,5,0.672780,597.996,253.370
37,0.617283,1,0.446556,534.816,442.103
37,0.617283,2,0.386237,584.555,201.737
37,0.617283,6,0.493541,615.031,412.141
38,0.633967,4,0.439724,633.369,277.717
38,0.633967,5,0.558264,599.121,247.249
38,0.633967,1,0.620158,537.235,449.901
38,0.633967,2,0.173211,583.241,203.537
38,0.633967,6,0.493541,613.535,401.507
39,0.650650,4,0.732709,634.665,287.082
39,0.650650,5,0.558886,600.065,241.729
39,0.650650,1,0.462154,539.622,457.450
39,0.650650,2,0.381777,581.961,205.120
39,0.650650,6,0.646689,610.903,383.765
40,0.667333,4,0.776597,635.661,297.559
40,0.667333,5,0.740229,601.717,236.367
40,0.667333,1,0.298864,542.494,464.377
40,0.667333,2,0.555831,580.597,207.939
40,0.667333,6,0.646689,609.082,371.094
41,0.684017,4,0.781891,637.144,307.942
41,0.684017,5,0.664414,603.235,231.985
41,0.684017,1,0.324674,545.964,470.738
41,0.684017,2,0.369649,579.301,210.654
41,0.684017,6,0.646689,607.260,358.424
42,0.700700,4,0.705230,638.852,319.675
42,0.700700,5,0.759950,604.627,228.129
42,0.700700,1,0.279084,550.044,475.340
42,0.700700,2,0.582346,578.327,213.619
42,0.700700,6,0.646689,605.439,345.753
