frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,4,0.845967,534.321,378.732,1
2,0.033367,2,0.830491,634.896,237.710,1
2,0.033367,3,0.800345,585.663,307.448,1
2,0.033367,1,0.860379,581.607,214.468,1
3,0.050050,4,0.525998,533.410,391.077,1
3,0.050050,2,0.676787,636.354,242.568,1
3,0.050050,3,0.598508,586.701,298.361,1
3,0.050050,1,0.249642,580.233,212.531,1
4,0.066733,4,0.576416,532.186,402.994,1
4,0.066733,2,0.116237,638.308,248.367,1
4,0.066733,3,0.231680,588.099,288.046,1
4,0.066733,1,0.162954,578.864,211.172,1
5,0.083417,4,0.588218,530.751,414.356,1
5,0.083417,2,0.487633,639.973,254.824,1
5,0.083417,3,0.524607,589.693,277.643,1
5,0.083417,1,0.395137,577.100,210.189,1
6,0.100100,4,0.577056,530.001,424.862,1
6,0.100100,2,0.805938,642.165,262.280,1
6,0.100100,3,0.587866,591.145,267.982,1
6,0.100100,1,0.541895,575.424,209.713,1
6,0.100100,5,0.668492,621.738,437.350,1
7,0.116783,4,0.577056,529.061,434.441,0
7,0.116783,2,0.464540,644.085,270.204,1
7,0.116783,3,0.199397,592.509,258.875,1
7,0.116783,1,0.354764,573.776,209.862,1
7,0.116783,5,0.668492,620.441,430.938,0
8,0.133467,4,0.255229,530.267,444.237,1
8,0.133467,2,0.640737,645.914,277.921,1
8,0.133467,3,0.512731,594.084,250.455,1
8,0.133467,1,0.556634,572.233,210.317,1
8,0.133467,5,0.646495,618.022,410.865,1
9,0.150150,4,0.509787,532.102,451.642,1
9,0.150150,2,0.663507,648.117,286.326,1
9,0.150150,3,0.597806,595.484,242.691,1
9,0.150150,1,0.662240,570.508,211.972,1
9,0.150150,5,0.152815,616.326,392.512,1
10,0.166833,4,0.527370,534.867,459.634,1
10,0.166833,2,0.844889,649.798,295.903,1
10,0.166833,3,0.848455,596.871,235.894,1
10,0.166833,1,0.802726,568.974,213.912,1
10,0.166833,5,0.735419,615.226,375.660,1
11,0.183517,4,0.421419,538.301,466.619,1
11,0.183517,2,0.827160,651.412,306.016,1
11,0.183517,3,0.816031,598.273,229.837,1
11,0.183517,1,0.692427,567.434,216.650,1
11,0.183517,5,0.100600,612.871,360.181,1
12,0.200200,4,0.311256,542.618,473.286,1
12,0.200200,2,0.798887,653.114,316.480,1
12,0.200200,3,0.798607,599.555,224.009,1
12,0.200200,1,0.677791,565.788,219.690,1
12,0.200200,5,0.615580,612.562,344.869,1
13,0.216883,4,0.218008,547.058,479.714,1
13,0.216883,2,0.767657,654.788,327.656,1
13,0.216883,3,0.785676,600.812,219.110,1
13,0.216883,1,0.523462,564.127,223.509,1
13,0.216883,5,0.377675,611.645,331.389,1
14,0.233567,4,0.143894,551.846,484.851,1
14,0.233567,2,0.815579,656.654,339.098,1
14,0.233567,3,0.801736,602.166,214.961,1
14,0.233567,1,0.721391,562.744,227.726,1
14,0.233567,5,0.637858,610.265,317.920,1
