frame,time_seconds,track_id,confidence,center_x,center_y,observed
2,0.033367,2,0.640353,634.852,238.092,1
2,0.033367,4,0.437297,534.507,378.816,1
2,0.033367,3,0.620014,585.701,307.544,1
2,0.033367,1,0.681837,581.599,214.712,1
3,0.050050,2,0.718778,636.631,242.902,1
3,0.050050,4,0.379463,533.502,391.182,1
3,0.050050,3,0.597590,586.813,298.542,1
3,0.050050,1,0.394773,580.309,212.576,1
4,0.066733,2,0.512204,638.507,248.808,1
4,0.066733,4,0.512830,532.198,403.382,1
4,0.066733,3,0.284997,588.162,288.255,1
4,0.066733,1,0.217164,579.000,210.974,1
5,0.083417,2,0.767453,640.099,255.354,1
5,0.083417,4,0.554880,530.758,414.353,1
5,0.083417,3,0.705964,589.687,277.894,1
5,0.083417,1,0.613679,577.131,210.299,1
5,0.083417,5,0.643535,623.786,449.588,1
6,0.100100,2,0.608291,642.239,262.696,1
6,0.100100,4,0.377765,529.781,424.318,1
6,0.100100,3,0.625489,591.156,268.188,1
6,0.100100,1,0.649153,575.413,210.099,1
6,0.100100,5,0.561480,621.916,437.768,1
7,0.116783,2,0.777900,644.138,270.783,1
7,0.116783,4,0.198430,529.947,433.656,1
7,0.116783,3,0.585886,592.587,259.143,1
7,0.116783,1,0.629572,573.808,210.378,1
7,0.116783,5,0.561480,620.846,431.975,0
8,0.133467,2,0.310465,645.899,278.335,1
8,0.133467,4,0.468392,530.655,442.672,1
8,0.133467,3,0.610442,594.216,250.831,1
8,0.133467,1,0.563372,572.306,210.855,1
8,0.133467,5,0.369363,618.333,411.843,1
9,0.150150,2,0.628855,648.172,286.573,1
9,0.150150,4,0.229235,532.317,452.117,1
9,0.150150,3,0.647391,595.744,243.043,1
9,0.150150,1,0.553011,570.544,212.296,1
9,0.150150,5,0.317165,616.459,393.053,1
10,0.166833,2,0.851187,649.792,296.353,1
10,0.166833,4,0.606857,534.865,459.510,1
10,0.166833,3,0.142393,597.073,236.278,1
10,0.166833,1,0.765563,568.864,214.303,1
10,0.166833,5,0.351779,615.352,376.024,1
11,0.183517,2,0.696357,651.516,306.426,1
11,0.183517,4,0.212775,538.173,466.678,1
11,0.183517,3,0.737699,598.328,230.419,1
11,0.183517,1,0.558144,567.318,216.959,1
11,0.183517,5,0.696186,613.503,360.151,1
12,0.200200,2,0.664938,653.248,316.912,1
12,0.200200,4,0.212775,539.650,475.057,0
12,0.200200,3,0.504124,599.570,224.608,1
12,0.200200,1,0.407752,565.810,219.988,1
12,0.200200,5,0.696186,611.909,345.450,0
13,0.216883,2,0.602483,654.940,327.992,1
13,0.216883,4,0.130427,544.830,481.028,1
13,0.216883,3,0.548139,600.724,219.343,1
13,0.216883,1,0.596145,564.247,223.716,1
13,0.216883,5,0.141715,611.062,331.880,1
14,0.233567,2,0.628393,656.815,339.424,1
14,0.233567,4,0.572392,550.402,485.841,1
14,0.233567,3,0.693392,601.980,215.149,1
14,0.233567,1,0.680149,562.938,227.941,1
14,0.233567,5,0.415434,609.873,318.516,1
15,0.250250,2,0.668449,658.450,351.848,1
15,0.250250,4,0.177386,555.535,487.910,1
15,0.250250,3,0.698470,603.244,211.701,1
15,0.250250,1,0.593983,561.235,232.691,1
15,0.250250,5,0.541304,608.714,306.836,1
16,0.266933,2,0.574019,660.129,364.897,1
16,0.266933,4,0.252535,559.960,487.405,1
16,0.266933,3,0.100660,604.752,208.656,1
16,0.266933,1,0.257913,559.918,238.187,1
16,0.266933,5,0.303669,607.727,295.733,1
17,0.283617,2,0.783797,661.803,378.366,1
17,0.283617,4,0.219986,563.966,483.809,1
17,0.283617,3,0.671784,606.155,206.394,1
17,0.283617,1,0.518345,558.382,244.059,1
17,0.283617,5,0.631726,606.531,285.608,1
18,0.300300,2,0.639223,663.159,390.905,1
18,0.300300,4,0.484445,567.087,476.329,1
18,0.300300,3,0.712950,607.549,204.717,1
18,0.300300,1,0.423645,556.575,250.395,1
18,0.300300,5,0.355121,605.298,276.099,1
19,0.316983,2,0.336899,664.130,401.855,1
19,0.316983,4,0.166948,569.654,466.030,1
19,0.316983,3,0.485192,608.865,203.468,1
19,0.316983,1,0.532802,555.134,257.634,1
19,0.316983,5,0.374862,604.434,267.705,1
20,0.333667,2,0.304641,664.524,411.713,1
20,0.333667,4,0.308663,571.199,453.500,1
20,0.333667,3,0.389019,609.905,202.552,1
20,0.333667,1,0.494111,553.611,265.288,1
20,0.333667,5,0.233032,603.617,259.752,1
21,0.350350,2,0.304641,665.691,422.961,0
21,0.350350,4,0.570374,573.793,437.958,1
21,0.350350,3,0.555378,611.065,202.385,1
21,0.350350,1,0.082674,551.782,273.230,1
21,0.350350,5,0.493607,602.349,252.226,1
22,0.367033,2,0.101968,663.554,432.584,1
22,0.367033,4,0.141772,576.178,422.097,1
22,0.367033,3,0.451187,612.476,202.500,1
22,0.367033,1,0.441397,550.196,281.806,1
22,0.367033,5,0.459592,601.230,245.299,1
23,0.383717,2,0.131397,660.515,440.942,1
23,0.383717,4,0.163935,577.929,405.625,1
23,0.383717,3,0.535279,613.616,203.237,1
23,0.383717,1,0.393546,548.670,290.889,1
23,0.383717,5,0.299752,600.026,239.177,1
24,0.400400,2,0.131397,659.921,451.107,0
24,0.400400,4,0.163935,580.391,393.711,0
24,0.400400,3,0.348874,614.986,204.445,1
24,0.400400,1,0.365393,547.242,300.368,1
24,0.400400,5,0.272182,598.921,233.113,1
25,0.417083,2,0.131397,659.328,461.271,0
25,0.417083,4,0.084956,581.603,377.382,1
25,0.417083,3,0.516825,616.596,206.026,1
25,0.417083,1,0.192550,545.867,310.228,1
25,0.417083,5,0.233903,597.772,227.364,1
26,0.433767,2,0.131397,658.734,471.436,0
26,0.433767,4,0.692039,583.103,362.235,1
26,0.433767,3,0.455908,617.921,208.188,1
26,0.433767,1,0.582182,544.355,320.972,1
26,0.433767,5,0.417912,596.522,222.165,1
27,0.450450,2,0.079524,650.546,475.481,1
27,0.450450,4,0.654817,584.630,347.739,1
27,0.450450,3,0.466519,619.430,210.746,1
27,0.450450,1,0.637362,542.733,332.769,1
27,0.450450,5,0.437919,595.386,217.778,1
28,0.467133,2,0.301327,642.720,478.351,1
28,0.467133,4,0.538132,585.736,334.425,1
28,0.467133,3,0.384775,621.301,213.937,1
28,0.467133,1,0.468353,541.372,344.920,1
28,0.467133,5,0.208636,594.353,213.457,1
29,0.483817,2,0.186417,636.455,481.987,1
29,0.483817,4,0.557430,587.091,321.883,1
29,0.483817,3,0.451661,622.692,217.933,1
